127.0.0.1 - - [31/Mar/2025:12:47:40 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:25 -0500] "GET /WebFarmacia/MntoProveedoresServlet?caso=RegistrarProv HTTP/1.1" 200 3271
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:43 -0500] "POST /WebFarmacia/ProveedoresServlet?caso=RegistrarProv HTTP/1.1" 200 17020
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:43 -0500] "GET /WebFarmacia/img/ HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:43 -0500] "GET /WebFarmacia/img/TEAM%20ANIMADO.png HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:53 -0500] "GET /WebFarmacia/ClienteServlet?accion=ListarCli HTTP/1.1" 200 19991
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:54 -0500] "GET /WebFarmacia/AccionServlet?tipo=ListarTodo HTTP/1.1" 200 21944
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:54 -0500] "GET /WebFarmacia/img/Paracetamol500.jpeg HTTP/1.1" 200 15479
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:54 -0500] "GET /WebFarmacia/img/vitaminaC.jpeg HTTP/1.1" 200 31937
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:55 -0500] "GET /WebFarmacia/img/ampicilina500.jpeg HTTP/1.1" 200 20283
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:55 -0500] "GET /WebFarmacia/img/cremaHumectante.jpg HTTP/1.1" 200 24376
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:55 -0500] "GET /WebFarmacia/img/AmpollaVitaminaB12.jpg HTTP/1.1" 200 17967
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:55 -0500] "GET /WebFarmacia/img/vitaminaD3.jpeg HTTP/1.1" 200 37207
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:55 -0500] "GET /WebFarmacia/img/diclofenaco.jpg HTTP/1.1" 200 19274
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:55 -0500] "GET /WebFarmacia/img/ibuprofeno200.jpeg HTTP/1.1" 200 34156
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:55 -0500] "GET /WebFarmacia/img/medicasp.jpg HTTP/1.1" 200 52186
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:55 -0500] "GET /WebFarmacia/img/amocixilina50.jpg HTTP/1.1" 200 90276
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:55 -0500] "GET /WebFarmacia/img/calcioVitaminaD.jpg HTTP/1.1" 200 103461
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:55 -0500] "GET /WebFarmacia/img/Antihistam%C3%ADnicoLoratadina.jpg HTTP/1.1" 200 33687
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:55 -0500] "GET /WebFarmacia/img/protectorSolar.jpg HTTP/1.1" 200 15220
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:00:08 -0500] "GET /WebFarmacia/ClienteServlet?accion=ListarCli HTTP/1.1" 500 5455
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:00:13 -0500] "GET /WebFarmacia/ClienteServlet?accion=ListarCli HTTP/1.1" 500 5455
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:00:22 -0500] "POST /WebFarmacia/ProveedoresServlet?caso=RegistrarProv HTTP/1.1" 500 6057
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:00:35 -0500] "GET /WebFarmacia/Login.jsp HTTP/1.1" 200 6099
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:00:47 -0500] "POST /WebFarmacia/UsuarioServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:00:47 -0500] "GET /WebFarmacia/Principal.jsp HTTP/1.1" 200 7072
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:00:47 -0500] "GET /WebFarmacia/CategoriaServlet HTTP/1.1" 200 7569
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:00:49 -0500] "GET /WebFarmacia/Reporte.jsp HTTP/1.1" 200 8651
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:00:49 -0500] "GET /WebFarmacia/styles.css HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:00:49 -0500] "GET /WebFarmacia/ClienteServlet?accion=ListarCli HTTP/1.1" 200 19991
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:00:53 -0500] "GET /WebFarmacia/ProveedoresServlet?caso=EliminarProv&codigoProv= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:00:59 -0500] "GET /WebFarmacia/ProveedoresServlet?caso=EliminarProv&codigoProv= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:01:03 -0500] "GET /WebFarmacia/ProveedoresServlet?caso=EliminarProv&codigoProv= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:01:05 -0500] "GET /WebFarmacia/ProveedoresServlet?caso=EliminarProv&codigoProv= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:01:10 -0500] "GET /WebFarmacia/ProveedoresServlet?caso=EliminarProv&codigoProv= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:02:03 -0500] "GET /WebFarmacia/Login.jsp HTTP/1.1" 200 6099
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:02:19 -0500] "POST /WebFarmacia/UsuarioServlet?action=register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:02:19 -0500] "GET /WebFarmacia/Principal.jsp HTTP/1.1" 200 6610
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:02:20 -0500] "GET /WebFarmacia/CategoriaServlet HTTP/1.1" 200 7107
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:02:25 -0500] "GET /WebFarmacia/Login.jsp HTTP/1.1" 200 6099
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:02:32 -0500] "POST /WebFarmacia/UsuarioServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:02:32 -0500] "GET /WebFarmacia/Principal.jsp HTTP/1.1" 200 7569
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:02:34 -0500] "GET /WebFarmacia/ClienteServlet?accion=ListarCli HTTP/1.1" 200 21379
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:02:36 -0500] "GET /WebFarmacia/ProveedoresServlet?caso=EliminarProv&codigoProv= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:04:09 -0500] "GET /WebFarmacia/Login.jsp HTTP/1.1" 200 6099
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:04:18 -0500] "POST /WebFarmacia/UsuarioServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:04:18 -0500] "GET /WebFarmacia/Principal.jsp HTTP/1.1" 200 7072
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:04:18 -0500] "GET /WebFarmacia/CategoriaServlet HTTP/1.1" 200 7569
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:04:21 -0500] "GET /WebFarmacia/ClienteServlet?accion=ListarCli HTTP/1.1" 200 21358
0:0:0:0:0:0:0:1 - - [31/Mar/2025:13:04:23 -0500] "GET /WebFarmacia/ProveedoresServlet?caso=EliminarProv&codigo=13%3E HTTP/1.1" 200 -
