127.0.0.1 - - [01/Apr/2025:11:10:44 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:26 -0500] "GET /WebFarmacia/img/proveedor7.jpg HTTP/1.1" 200 22155
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:26 -0500] "GET /WebFarmacia/img/proveedores5.png HTTP/1.1" 200 40427
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:31 -0500] "GET /WebFarmacia/ProveedoresServlet?caso=EliminarProv&codigo=12 HTTP/1.1" 200 17020
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:31 -0500] "GET /WebFarmacia/img/ HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:31 -0500] "GET /WebFarmacia/img/TEAM%20ANIMADO.png HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:51 -0500] "GET /WebFarmacia/ClienteServlet?accion=ListarCli HTTP/1.1" 200 21346
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:54 -0500] "GET /WebFarmacia/MntoClienteServlet?caso=EliminarProv&codigo=13 HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:49:00 -0500] "GET /WebFarmacia/Cliente.jsp HTTP/1.1" 200 21346
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:49:03 -0500] "GET /WebFarmacia/MntoClienteServlet?caso=EliminarProv&codigo=13 HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:49:05 -0500] "POST /WebFarmacia/ClienteServlet?accion=EliminarProv HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:49:15 -0500] "POST /WebFarmacia/ClienteServlet?accion=EliminarProv HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:53:38 -0500] "GET /WebFarmacia/Cliente.jsp HTTP/1.1" 500 4953
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:53:51 -0500] "GET /WebFarmacia/Login.jsp HTTP/1.1" 200 6099
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:56:57 -0500] "POST /WebFarmacia/UsuarioServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:56:57 -0500] "GET /WebFarmacia/Principal.jsp HTTP/1.1" 200 7072
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:56:57 -0500] "GET /WebFarmacia/CategoriaServlet HTTP/1.1" 200 7569
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:56:59 -0500] "GET /WebFarmacia/ProveedoresServlet?caso=ListarProv HTTP/1.1" 200 17020
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:56:59 -0500] "GET /WebFarmacia/img/ HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:56:59 -0500] "GET /WebFarmacia/img/TEAM%20ANIMADO.png HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:57:00 -0500] "GET /WebFarmacia/ClienteServlet?accion=ListarCli HTTP/1.1" 200 21454
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:57:04 -0500] "GET /WebFarmacia/ProductoServlet?type=info&idCategoria=1 HTTP/1.1" 200 9264
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:57:04 -0500] "GET /WebFarmacia/img/Paracetamol500.jpeg HTTP/1.1" 200 15479
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:57:04 -0500] "GET /WebFarmacia/img/ibuprofeno200.jpeg HTTP/1.1" 200 34156
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:57:04 -0500] "GET /WebFarmacia/img/diclofenaco.jpg HTTP/1.1" 200 19274
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:57:04 -0500] "GET /WebFarmacia/img/Antihistam%C3%ADnicoLoratadina.jpg HTTP/1.1" 200 33687
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:57:06 -0500] "GET /WebFarmacia/ProductoServlet?type=info&idCategoria=2 HTTP/1.1" 200 8007
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:57:06 -0500] "GET /WebFarmacia/img/vitaminaC.jpeg HTTP/1.1" 200 31937
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:57:06 -0500] "GET /WebFarmacia/img/vitaminaD3.jpeg HTTP/1.1" 200 37207
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:57:06 -0500] "GET /WebFarmacia/img/calcioVitaminaD.jpg HTTP/1.1" 200 103461
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:57:07 -0500] "GET /WebFarmacia/Reporte.jsp HTTP/1.1" 200 8651
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:57:07 -0500] "GET /WebFarmacia/styles.css HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:57:15 -0500] "POST /WebFarmacia/Reporte.jsp HTTP/1.1" 200 8853
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:57:15 -0500] "GET /WebFarmacia/styles.css HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:00:03 -0500] "GET /WebFarmacia/AccionServlet?tipo=ListarTodo HTTP/1.1" 500 5455
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:00:42 -0500] "GET /WebFarmacia/AccionServlet?tipo=ListarTodo HTTP/1.1" 500 5455
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:00:43 -0500] "GET /WebFarmacia/Reporte.jsp HTTP/1.1" 500 4952
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:10 -0500] "GET /WebFarmacia/Login.jsp HTTP/1.1" 200 6099
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:12 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:29 -0500] "POST /WebFarmacia/UsuarioServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:29 -0500] "GET /WebFarmacia/Principal.jsp HTTP/1.1" 200 7072
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:30 -0500] "GET /WebFarmacia/img/logo.png HTTP/1.1" 200 330743
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:30 -0500] "GET /WebFarmacia/img/Medicamentos.jpg HTTP/1.1" 200 139717
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:30 -0500] "GET /WebFarmacia/img/CuidadoPersonal.jpg HTTP/1.1" 200 302739
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:30 -0500] "GET /WebFarmacia/img/admin.png HTTP/1.1" 200 5044
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:30 -0500] "GET /WebFarmacia/img/Vitaminas.jpg HTTP/1.1" 200 90369
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:30 -0500] "GET /WebFarmacia/CategoriaServlet HTTP/1.1" 200 7569
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:40 -0500] "GET /WebFarmacia/ProveedoresServlet?caso=ListarProv HTTP/1.1" 200 17020
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:40 -0500] "GET /WebFarmacia/img/ HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:40 -0500] "GET /WebFarmacia/img/proveedores2.png HTTP/1.1" 200 22337
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:40 -0500] "GET /WebFarmacia/img/proveedores3.png HTTP/1.1" 200 20731
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:40 -0500] "GET /WebFarmacia/img/proveedores4.png HTTP/1.1" 200 143150
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:40 -0500] "GET /WebFarmacia/img/proveedores5.png HTTP/1.1" 200 40427
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:40 -0500] "GET /WebFarmacia/img/proveedores6.png HTTP/1.1" 200 130478
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:40 -0500] "GET /WebFarmacia/img/proveedor7.jpg HTTP/1.1" 200 22155
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:40 -0500] "GET /WebFarmacia/img/TEAM%20ANIMADO.png HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:48 -0500] "GET /WebFarmacia/MntoProveedoresServlet?caso=ModificarProv&codigo=5 HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:54 -0500] "POST /WebFarmacia/ProveedoresServlet?caso=ModificarProv HTTP/1.1" 200 16995
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:54 -0500] "GET /WebFarmacia/img/ HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:54 -0500] "GET /WebFarmacia/img/TEAM%20ANIMADO.png HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:57 -0500] "GET /WebFarmacia/ClienteServlet?accion=ListarCli HTTP/1.1" 200 21454
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:01:58 -0500] "GET /WebFarmacia/img/cliente.png HTTP/1.1" 200 6292
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:02:02 -0500] "GET /WebFarmacia/MntoClienteServlet?caso=ModificarCLi&codigo=3 HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [01/Apr/2025:12:02:07 -0500] "POST /WebFarmacia/ClienteServlet?accion=ModificarCLi HTTP/1.1" 200 21461
